infinitiv,form,example,verb,english
dringen,Präteritum 3. Pers.,Er …,drang,get through
dringen,Partizip II,Er hat/ist …,gedrungen,get through
dringen,Präsens 2. Pers.,Du …,dringst,get through
dringen,Konjunktiv II 3. Pers.,Wenn er doch …,dränge,get through
dünken,Präteritum 3. Pers.,Er …,dünkte,think/seem
dünken,Partizip II,Er hat/ist …,gedünkt,think/seem
dünken,Präsens 2. Pers.,Du …,dünkst,think/seem
dünken,Konjunktiv II 3. Pers.,Wenn er doch …,dünkte,think/seem
dünken,Präteritum 3. Pers.,Er …,deuchte,think/seem
dünken,Partizip II,Er hat/ist …,gedeucht,think/seem
dürfen,Präteritum 3. Pers.,Er …,durfte,be allowed/permitted
dürfen,Partizip II,Er hat/ist …,gedurft,be allowed/permitted
dürfen,Präsens 2. Pers.,Du …,darfst,be allowed/permitted
dürfen,Konjunktiv II 3. Pers.,Wenn er doch …,dürfte,be allowed/permitted
empfehlen,Präteritum 3. Pers.,Er …,empfahl,suggest
empfehlen,Partizip II,Er hat/ist …,empfohlen,suggest
empfehlen,Präsens 2. Pers.,Du …,empfiehlst,suggest
empfehlen,Konjunktiv II 3. Pers.,Wenn er doch …,empföhle,suggest
erlöschen,Präteritum 3. Pers.,Er …,erlosch,lapse/expire/terminate
erlöschen,Partizip II,Er hat/ist …,erloschen,lapse/expire/terminate
erlöschen,Präsens 2. Pers.,Du …,erlischst,lapse/expire/terminate
erlöschen,Konjunktiv II 3. Pers.,Wenn er doch …,erlösche,lapse/expire/terminate
erschrecken (in Schrecken geraten),Präteritum 3. Pers.,Er …,erschrak,frighten/startle
erschrecken (in Schrecken geraten),Partizip II,Er hat/ist …,erschrocken,frighten/startle
erschrecken (in Schrecken geraten),Präsens 2. Pers.,Du …,erschrickst,frighten/startle
erschrecken (in Schrecken geraten),Konjunktiv II 3. Pers.,Wenn er doch …,erschräke,frighten/startle
erschrecken (in Schrecken versetzen),Präteritum 3. Pers.,Er …,erschreckte,scare/spook/terrify
erschrecken (in Schrecken versetzen),Partizip II,Er hat/ist …,erschreckt,scare/spook/terrify
erschrecken (in Schrecken versetzen),Präsens 2. Pers.,Du …,erschreckst,scare/spook/terrify
erschrecken (in Schrecken versetzen),Konjunktiv II 3. Pers.,Wenn er doch …,erschreckte,scare/spook/terrify
essen,Präteritum 3. Pers.,Er …,ass,eat
essen,Partizip II,Er hat/ist …,gegessen,eat
essen,Präsens 2. Pers.,Du …,isst,eat
essen,Konjunktiv II 3. Pers.,Wenn er doch …,ässe,eat
essen,Präsens 2. Pers.,Du …,issest,eat
fahren,Präteritum 3. Pers.,Er …,fuhr,drive
fahren,Partizip II,Er hat/ist …,gefahren,drive
fahren,Präsens 2. Pers.,Du …,fährst,drive
fahren,Konjunktiv II 3. Pers.,Wenn er doch …,führe,drive
fallen,Präteritum 3. Pers.,Er …,fiel,fall
fallen,Partizip II,Er hat/ist …,gefallen,fall
fallen,Präsens 2. Pers.,Du …,fällst,fall
fallen,Konjunktiv II 3. Pers.,Wenn er doch …,fiele,fall
fällen,Präteritum 3. Pers.,Er …,fällte,render [judgment]
fällen,Partizip II,Er hat/ist …,gefällt,render [judgment]
fällen,Präsens 2. Pers.,Du …,fällst,render [judgment]
fällen,Konjunktiv II 3. Pers.,Wenn er doch …,fällte,render [judgment]
fangen,Präteritum 3. Pers.,Er …,fing,catch sth.
fangen,Partizip II,Er hat/ist …,gefangen,catch sth.
fangen,Präsens 2. Pers.,Du …,fängst,catch sth.
fangen,Konjunktiv II 3. Pers.,Wenn er doch …,finge,catch sth.
fechten,Präteritum 3. Pers.,Er …,focht,fight
fechten,Partizip II,Er hat/ist …,gefochten,fight
fechten,Präsens 2. Pers.,Du …,fichtst,fight
fechten,Konjunktiv II 3. Pers.,Wenn er doch …,föchte,fight
finden,Präteritum 3. Pers.,Er …,fand,find sth.
finden,Partizip II,Er hat/ist …,gefunden,find sth.
finden,Präsens 2. Pers.,Du …,findest,find sth.
finden,Konjunktiv II 3. Pers.,Wenn er doch …,fände,find sth.
flechten,Präteritum 3. Pers.,Er …,flocht,wattle sth.
flechten,Partizip II,Er hat/ist …,geflochten,wattle sth.
flechten,Präsens 2. Pers.,Du …,flichtst,wattle sth.
flechten,Konjunktiv II 3. Pers.,Wenn er doch …,flöchte,wattle sth.
fliegen,Präteritum 3. Pers.,Er …,flog,fly
fliegen,Partizip II,Er hat/ist …,geflogen,fly
fliegen,Präsens 2. Pers.,Du …,fliegst,fly
fliegen,Konjunktiv II 3. Pers.,Wenn er doch …,flöge,fly
fliehen,Präteritum 3. Pers.,Er …,floh,flee
fliehen,Partizip II,Er hat/ist …,geflohen,flee
fliehen,Präsens 2. Pers.,Du …,fliehst,flee
fliehen,Konjunktiv II 3. Pers.,Wenn er doch …,flöhe,flee
fliessen,Präteritum 3. Pers.,Er …,floss,flow
fliessen,Partizip II,Er hat/ist …,geflossen,flow
fliessen,Präsens 2. Pers.,Du …,fliesst,flow
fliessen,Konjunktiv II 3. Pers.,Wenn er doch …,flösse,flow
fliessen,Präsens 2. Pers.,Du …,fliessest,flow
fragen,Präteritum 3. Pers.,Er …,fragte,ask
fragen,Partizip II,Er hat/ist …,gefragt,ask
fragen,Präsens 2. Pers.,Du …,fragst,ask
fragen,Konjunktiv II 3. Pers.,Wenn er doch …,fragte,ask
fressen,Präteritum 3. Pers.,Er …,frass,devour sth.
fressen,Partizip II,Er hat/ist …,gefressen,devour sth.
fressen,Präsens 2. Pers.,Du …,frisst,devour sth.
fressen,Konjunktiv II 3. Pers.,Wenn er doch …,frässe,devour sth.
fressen,Präsens 2. Pers.,Du …,frissest,devour sth.
frieren,Präteritum 3. Pers.,Er …,fror,freeze
frieren,Partizip II,Er hat/ist …,gefroren,freeze
frieren,Präsens 2. Pers.,Du …,frierst,freeze
frieren,Konjunktiv II 3. Pers.,Wenn er doch …,fröre,freeze
gären,Präteritum 3. Pers.,Er …,gor,ferment
gären,Partizip II,Er hat/ist …,gegoren,ferment
gären,Präsens 2. Pers.,Du …,gärst,ferment
gären,Konjunktiv II 3. Pers.,Wenn er doch …,göre,ferment
gären,Präteritum 3. Pers.,Er …,gärte,ferment
gären,Partizip II,Er hat/ist …,gegärt,ferment
gären,Präsens 2. Pers.,Du …,gärst,ferment
gären,Konjunktiv II 3. Pers.,Wenn er doch …,gärte,ferment
gebären,Präteritum 3. Pers.,Er …,gebar,bear [to give birth]
gebären,Partizip II,Er hat/ist …,geboren,bear [to give birth]
gebären,Präsens 2. Pers.,Du …,gebierst,bear [to give birth]
gebären,Konjunktiv II 3. Pers.,Wenn er doch …,gebäre,bear [to give birth]
