infinitiv,form,example,verb,english
pfeifen,Partizip II,Er hat/ist …,gepfiffen,whistle
pfeifen,Präsens 2. Pers.,Du …,pfeifst,whistle
pfeifen,Konjunktiv II 3. Pers.,Wenn er doch …,pfiffe,whistle
pflegen,Präteritum 3. Pers.,Er …,pflegte,foster
pflegen,Partizip II,Er hat/ist …,gepflegt,foster
pflegen,Präsens 2. Pers.,Du …,pflegst,foster
pflegen,Konjunktiv II 3. Pers.,Wenn er doch …,pflegte,foster
preisen,Präteritum 3. Pers.,Er …,pries,extol sb. sth.
preisen,Partizip II,Er hat/ist …,gepriesen,extol sb. sth.
preisen,Präsens 2. Pers.,Du …,preist,extol sb. sth.
preisen,Konjunktiv II 3. Pers.,Wenn er doch …,priese,extol sb. sth.
preisen,Präsens 2. Pers.,Du …,preistest,extol sb. sth.
putzen,Präteritum 3. Pers.,Er …,putzte,clean (sth.)
putzen,Partizip II,Er hat/ist …,geputzt,clean (sth.)
putzen,Präsens 2. Pers.,Du …,putzt,clean (sth.)
putzen,Konjunktiv II 3. Pers.,Wenn er doch …,putzte,clean (sth.)
putzen,Präsens 2. Pers.,Du …,putztest,clean (sth.)
quellen (dicker werden),Präteritum 3. Pers.,Er …,quoll,soak/swell
quellen (dicker werden),Partizip II,Er hat/ist …,gequollen,soak/swell
quellen (dicker werden),Präsens 2. Pers.,Du …,quillst,soak/swell
quellen (dicker werden),Konjunktiv II 3. Pers.,Wenn er doch …,quölle,soak/swell
quellen (einweichen),Präteritum 3. Pers.,Er …,quellte,gush
quellen (einweichen),Partizip II,Er hat/ist …,gequellt,gush
quellen (einweichen),Präsens 2. Pers.,Du …,quellst,gush
quellen (einweichen),Konjunktiv II 3. Pers.,Wenn er doch …,quellte,gush
raten,Präteritum 3. Pers.,Er …,riet,guess
raten,Partizip II,Er hat/ist …,geraten,guess
raten,Präsens 2. Pers.,Du …,rätst,guess
raten,Konjunktiv II 3. Pers.,Wenn er doch …,riete,guess
reiben,Präteritum 3. Pers.,Er …,rieb,rub
reiben,Partizip II,Er hat/ist …,gerieben,rub
reiben,Präsens 2. Pers.,Du …,reibst,rub
reiben,Konjunktiv II 3. Pers.,Wenn er doch …,riebe,rub
reissen,Präteritum 3. Pers.,Er …,riss,rip/tear
reissen,Partizip II,Er hat/ist …,gerissen,rip/tear
reissen,Präsens 2. Pers.,Du …,reisst,rip/tear
reissen,Konjunktiv II 3. Pers.,Wenn er doch …,risse,rip/tear
reissen,Präsens 2. Pers.,Du …,reisstest,rip/tear
reiten,Präteritum 3. Pers.,Er …,ritt,ride
reiten,Partizip II,Er hat/ist …,geritten,ride
reiten,Präsens 2. Pers.,Du …,reitest,ride
reiten,Konjunktiv II 3. Pers.,Wenn er doch …,ritte,ride
rennen,Präteritum 3. Pers.,Er …,rannte,run
rennen,Partizip II,Er hat/ist …,gerannt,run
rennen,Präsens 2. Pers.,Du …,rennst,run
rennen,Konjunktiv II 3. Pers.,Wenn er doch …,rennte,run
riechen,Präteritum 3. Pers.,Er …,roch,smell
riechen,Partizip II,Er hat/ist …,geröchen,smell
riechen,Präsens 2. Pers.,Du …,riechst,smell
riechen,Konjunktiv II 3. Pers.,Wenn er doch …,röche,smell
ringen,Präteritum 3. Pers.,Er …,rang,wrestle
ringen,Partizip II,Er hat/ist …,gerungen,wrestle
ringen,Präsens 2. Pers.,Du …,ringst,wrestle
ringen,Konjunktiv II 3. Pers.,Wenn er doch …,ränge,wrestle
rinnen,Präteritum 3. Pers.,Er …,rann,trickle
rinnen,Partizip II,Er hat/ist …,geronnen,trickle
rinnen,Präsens 3. Pers.,Es …,rinnt,trickle
rinnen,Konjunktiv II 3. Pers.,Wenn er doch …,ränne,trickle
rufen,Präteritum 3. Pers.,Er …,rief,call
rufen,Partizip II,Er hat/ist …,gerufen,call
rufen,Präsens 2. Pers.,Du …,rufst,call
rufen,Konjunktiv II 3. Pers.,Wenn er doch …,riefe,call
salzen,Präteritum 3. Pers.,Er …,salzte,salt
salzen,Partizip II,Er hat/ist …,gesalzen,salt
salzen,Präsens 2. Pers.,Du …,salzt,salt
salzen,Konjunktiv II 3. Pers.,Wenn er doch …,salzte,salt
salzen,Partizip II,Er hat/ist …,gesalzt,salt
salzen,Präsens 2. Pers.,Du …,salzest,salt
saufen,Präteritum 3. Pers.,Er …,soff,soak
saufen,Partizip II,Er hat/ist …,gesoffen,soak
saufen,Präsens 2. Pers.,Du …,säufst,soak
saufen,Konjunktiv II 3. Pers.,Wenn er doch …,söffe,soak
saugen,Präteritum 3. Pers.,Er …,sog,suck
saugen,Partizip II,Er hat/ist …,gesogen,suck
saugen,Präsens 2. Pers.,Du …,saugst,suck
saugen,Konjunktiv II 3. Pers.,Wenn er doch …,söge,suck
saugen,Präteritum 3. Pers.,Er …,saugte,suck
saugen,Partizip II,Er hat/ist …,gesaugt,suck
saugen,Konjunktiv II 3. Pers.,Wenn er doch …,saugte,suck
schaffen (gestaltend hervorbringen),Präteritum 3. Pers.,Er …,schuf,
schaffen (gestaltend hervorbringen),Partizip II,Er hat/ist …,geschaffen,
schaffen (gestaltend hervorbringen),Präsens 2. Pers.,Du …,schaffst,
schaffen (gestaltend hervorbringen),Konjunktiv II 3. Pers.,Wenn er doch …,schüfe,
schaffen (arbeiten),Präteritum 3. Pers.,Er …,schaffte,work
schaffen (arbeiten),Partizip II,Er hat/ist …,geschafft,work
schaffen (arbeiten),Präsens 2. Pers.,Du …,schaffst,work
schaffen (arbeiten),Konjunktiv II 3. Pers.,Wenn er doch …,schaffte,work
schallen,Präteritum 3. Pers.,Er …,scholl,sound
schallen,Partizip II,Er hat/ist …,geschallt,sound
schallen,Präsens 3. Pers.,Es …,schallt,sound
schallen,Konjunktiv II 3. Pers.,Wenn er doch …,schölle,sound
schallen,Präteritum 3. Pers.,Er …,schallte,sound
schallen,Konjunktiv II 3. Pers.,Wenn er doch …,schallte,sound
scheiden,Präteritum 3. Pers.,Er …,schied,divide
scheiden,Partizip II,Er hat/ist …,geschieden,divide
scheiden,Präsens 2. Pers.,Du …,scheidest,divide
scheiden,Konjunktiv II 3. Pers.,Wenn er doch …,schiede,divide
scheinen,Präteritum 3. Pers.,Er …,schien,seem
scheinen,Partizip II,Er hat/ist …,geschienen,seem
scheinen,Präsens 2. Pers.,Du …,scheinst,seem
scheinen,Konjunktiv II 3. Pers.,Wenn er doch …,schiene,seem
schelten,Präteritum 3. Pers.,Er …,schalt,reprimand/chide (sb.)
schelten,Partizip II,Er hat/ist …,gescholten,reprimand/chide (sb.)
schelten,Präsens 2. Pers.,Du …,schiltst,reprimand/chide (sb.)
schelten,Konjunktiv II 3. Pers.,Wenn er doch …,schölte,reprimand/chide (sb.)
scheren,Präteritum 3. Pers.,Er …,schor,shear
scheren,Partizip II,Er hat/ist …,geschoren,shear
scheren,Präsens 2. Pers.,Du …,scherst,shear
scheren,Konjunktiv II 3. Pers.,Wenn er doch …,schöre,shear
scheren,Präteritum 3. Pers.,Er …,scherte,shear
scheren,Partizip II,Er hat/ist …,geschert,shear
schieben,Präteritum 3. Pers.,Er …,schob,shove
schieben,Partizip II,Er hat/ist …,geschoben,shove
schieben,Präsens 2. Pers.,Du …,schiebst,shove
schieben,Konjunktiv II 3. Pers.,Wenn er doch …,schöbe,shove
schiessen,Präteritum 3. Pers.,Er …,schoss,shoot
schiessen,Partizip II,Er hat/ist …,geschossen,shoot
schiessen,Präsens 2. Pers.,Du …,schiesst,shoot
schiessen,Konjunktiv II 3. Pers.,Wenn er doch …,schösse,shoot
schiessen,Präsens 2. Pers.,Du …,schiessest,shoot
schimpfen,Präteritum 3. Pers.,Er …,schimpfte,rant/curse
schimpfen,Partizip II,Er hat/ist …,geschimpft,rant/curse
schimpfen,Präsens 2. Pers.,Du …,schimpfst,rant/curse
schimpfen,Konjunktiv II 3. Pers.,Wenn er doch …,schimpfte,rant/curse
schlafen,Präteritum 3. Pers.,Er …,schlief,sleep
schlafen,Partizip II,Er hat/ist …,geschlafen,sleep
schlafen,Präsens 2. Pers.,Du …,schläfst,sleep
schlafen,Konjunktiv II 3. Pers.,Wenn er doch …,schliefe,sleep
schlagen,Präteritum 3. Pers.,Er …,schlug,beat sb. sth.
schlagen,Partizip II,Er hat/ist …,geschlagen,beat sb. sth.
schlagen,Präsens 2. Pers.,Du …,schlägst,beat sb. sth.
schlagen,Konjunktiv II 3. Pers.,Wenn er doch …,schlüge,beat sb. sth.
schleichen,Präteritum 3. Pers.,Er …,schlich,creep
schleichen,Partizip II,Er hat/ist …,geschlichen,creep
schleichen,Präsens 2. Pers.,Du …,schleichst,creep
schleichen,Konjunktiv II 3. Pers.,Wenn er doch …,schliche,creep
schleifen (schärfen),Präteritum 3. Pers.,Er …,schliff,grind/sharpen
schleifen (schärfen),Partizip II,Er hat/ist …,geschliffen,grind/sharpen
schleifen (schärfen),Präsens 2. Pers.,Du …,schleifst,grind/sharpen
schleifen (schärfen),Konjunktiv II 3. Pers.,Wenn er doch …,schliffe,grind/sharpen
schleifen (über den Boden ziehen),Präteritum 3. Pers.,Er …,schleifte,pull
schleifen (über den Boden ziehen),Partizip II,Er hat/ist …,geschleift,pull
schleifen (über den Boden ziehen),Präsens 2. Pers.,Du …,schleifst,pull
schleifen (über den Boden ziehen),Konjunktiv II 3. Pers.,Wenn er doch …,schleifte,pull
schliessen,Präteritum 3. Pers.,Er …,schloss,close/shut/lock
schliessen,Partizip II,Er hat/ist …,geschlossen,close/shut/lock
schliessen,Präsens 2. Pers.,Du …,schliesst,close/shut/lock
schliessen,Konjunktiv II 3. Pers.,Wenn er doch …,schlösse,close/shut/lock
schliessen,Präsens 2. Pers.,Du …,schliessest,close/shut/lock
schlingen,Präteritum 3. Pers.,Er …,schlang,loop/gulp
schlingen,Partizip II,Er hat/ist …,geschlungen,loop/gulp
schlingen,Präsens 2. Pers.,Du …,schlingst,loop/gulp
schlingen,Konjunktiv II 3. Pers.,Wenn er doch …,schlänge,loop/gulp
schlüpfen,Präteritum 3. Pers.,Er …,schlüpfte,slip [into sth.]/hatch out
schlüpfen,Partizip II,Er hat/ist …,geschlüpft,slip [into sth.]/hatch out
schlüpfen,Präsens 2. Pers.,Du …,schlüpfst,slip [into sth.]/hatch out
schlüpfen,Konjunktiv II 3. Pers.,Wenn er doch …,schlüpfte,slip [into sth.]/hatch out
schmelzen (flüssig werden),Präteritum 3. Pers.,Er …,schmolz,melt
schmelzen (flüssig werden),Partizip II,Er hat/ist …,geschmolzen,melt
schmelzen (flüssig werden),Präsens 2. Pers.,Du …,schmilzt,melt
schmelzen (flüssig werden),Konjunktiv II 3. Pers.,Wenn er doch …,schmölze,melt
schmelzen (flüssig werden),Präsens 2. Pers.,Du …,schmilzest,melt
schmelzen (flüssig machen),Präteritum 3. Pers.,Er …,schmolz,melt
schmelzen (flüssig machen),Partizip II,Er hat/ist …,geschmolzen,melt
schmelzen (flüssig machen),Präsens 2. Pers.,Du …,schmilzt,melt
schmelzen (flüssig machen),Konjunktiv II 3. Pers.,Wenn er doch …,schmölze,melt
schmelzen (flüssig machen),Präsens 2. Pers.,Du …,schmilztest,melt
schmelzen (flüssig machen),Präteritum 3. Pers.,Er …,schmelzte,melt
schmelzen (flüssig machen),Partizip II,Er hat/ist …,geschmelzt,melt
schmelzen (flüssig machen),Präsens 2. Pers.,Du …,schmelzt,melt
schmelzen (flüssig machen),Konjunktiv II 3. Pers.,Wenn er doch …,schmelzte,melt
schmelzen (flüssig machen),Präsens 2. Pers.,Du …,schmelztest,melt
schnauben,Präteritum 3. Pers.,Er …,schnob,snort
schnauben,Partizip II,Er hat/ist …,geschnoben,snort
schnauben,Präsens 3. Pers.,Es …,schnaubt,snort
schnauben,Konjunktiv II 3. Pers.,Wenn er doch …,schnöbe,snort
schnauben,Präteritum 3. Pers.,Er …,schnaubte,snort
schnauben,Partizip II,Er hat/ist …,geschnaubt,snort
schnauben,Konjunktiv II 3. Pers.,Wenn er doch …,schnaubte,snort
schneiden,Präteritum 3. Pers.,Er …,schnitt,cut
schneiden,Partizip II,Er hat/ist …,geschnitten,cut
schneiden,Präsens 2. Pers.,Du …,schneidest,cut
schneiden,Konjunktiv II 3. Pers.,Wenn er doch …,schnitte,cut
schreiben,Präteritum 3. Pers.,Er …,schrieb,write
schreiben,Partizip II,Er hat/ist …,geschrieben,write
schreiben,Präsens 2. Pers.,Du …,schreibst,write
schreiben,Konjunktiv II 3. Pers.,Wenn er doch …,schriebe,write
schreien,Präteritum 3. Pers.,Er …,schrie,shout
schreien,Partizip II,Er hat/ist …,geschrien,shout
schreien,Präsens 2. Pers.,Du …,schreist,shout
schreien,Konjunktiv II 3. Pers.,Wenn er doch …,schrie,shout
schreiten,Präteritum 3. Pers.,Er …,schritt,stride [walk with long steps]
schreiten,Partizip II,Er hat/ist …,geschritten,stride [walk with long steps]
schreiten,Präsens 2. Pers.,Du …,schreitest,stride [walk with long steps]
schreiten,Konjunktiv II 3. Pers.,Wenn er doch …,schritte,stride [walk with long steps]
schweigen,Präteritum 3. Pers.,Er …,schwieg,be/keep silent
schweigen,Partizip II,Er hat/ist …,geschwiegen,be/keep silent
schweigen,Präsens 2. Pers.,Du …,schweigst,be/keep silent
schweigen,Konjunktiv II 3. Pers.,Wenn er doch …,schwiege,be/keep silent
schwellen (dicker werden),Präteritum 3. Pers.,Er …,schwoll,swell
schwellen (dicker werden),Partizip II,Er hat/ist …,geschwollen,swell
schwellen (dicker werden),Präsens 2. Pers.,Du …,schwillst,swell
schwellen (dicker werden),Konjunktiv II 3. Pers.,Wenn er doch …,schwölle,swell
schwellen (dicker machen),Präteritum 3. Pers.,Er …,schwellte,swell
schwellen (dicker machen),Partizip II,Er hat/ist …,geschwellt,swell
schwellen (dicker machen),Präsens 2. Pers.,Du …,schwellst,swell
schwellen (dicker machen),Konjunktiv II 3. Pers.,Wenn er doch …,schwellte,swell
schwimmen,Präteritum 3. Pers.,Er …,schwamm,swim
schwimmen,Partizip II,Er hat/ist …,geschwommen,swim
schwimmen,Präsens 2. Pers.,Du …,schwimmst,swim
schwimmen,Konjunktiv II 3. Pers.,Wenn er doch …,schwömme,swim
schwinden,Präteritum 3. Pers.,Er …,schwand,wane
schwinden,Partizip II,Er hat/ist …,geschwunden,wane
schwinden,Präsens 2. Pers.,Du …,schwindest,wane
schwinden,Konjunktiv II 3. Pers.,Wenn er doch …,schwände,wane
schwingen,Präteritum 3. Pers.,Er …,schwang,wield
schwingen,Partizip II,Er hat/ist …,geschwungen,wield
schwingen,Präsens 2. Pers.,Du …,schwingst,wield
schwingen,Konjunktiv II 3. Pers.,Wenn er doch …,schwänge,wield
schwören,Präteritum 3. Pers.,Er …,schwor,vow
schwören,Partizip II,Er hat/ist …,geschworen,vow
schwören,Präsens 2. Pers.,Du …,schwörst,vow
schwören,Konjunktiv II 3. Pers.,Wenn er doch …,schwüre,vow
sehen,Präteritum 3. Pers.,Er …,sah,see
sehen,Partizip II,Er hat/ist …,gesehen,see
sehen,Präsens 2. Pers.,Du …,siehst,see
sehen,Konjunktiv II 3. Pers.,Wenn er doch …,sähe,see
sein,Präteritum 3. Pers.,Er …,war,be
sein,Partizip II,Er hat/ist …,gewesen,be
sein,Präsens 2. Pers.,Du …,bist,be
sein,Konjunktiv II 3. Pers.,Wenn er doch …,wäre,be
senden,Präteritum 3. Pers.,Er …,sandte,send
senden,Partizip II,Er hat/ist …,gesandt,send
senden,Präsens 2. Pers.,Du …,sendest,send
senden,Konjunktiv II 3. Pers.,Wenn er doch …,sendete,send
senden,Präteritum 3. Pers.,Er …,sendete,send
senden,Partizip II,Er hat/ist …,gesendet,send
sieden,Präteritum 3. Pers.,Er …,sott,seethe
sieden,Partizip II,Er hat/ist …,gesotten,seethe
sieden,Präsens 2. Pers.,Du …,siedest,seethe
sieden,Konjunktiv II 3. Pers.,Wenn er doch …,sötte,seethe
sieden,Präteritum 3. Pers.,Er …,siedete,seethe
sieden,Partizip II,Er hat/ist …,gesiedet,seethe
sieden,Konjunktiv II 3. Pers.,Wenn er doch …,siedete,seethe
singen,Präteritum 3. Pers.,Er …,sang,sing
singen,Partizip II,Er hat/ist …,gesungen,sing
singen,Präsens 2. Pers.,Du …,singst,sing
singen,Konjunktiv II 3. Pers.,Wenn er doch …,sänge,sing
sinken,Präteritum 3. Pers.,Er …,sank,decrease
sinken,Partizip II,Er hat/ist …,gesunken,decrease
sinken,Präsens 2. Pers.,Du …,sinkst,decrease
sinken,Konjunktiv II 3. Pers.,Wenn er doch …,sänke,decrease
sinnen,Präteritum 3. Pers.,Er …,sann,think/contemplate/ponder
sinnen,Partizip II,Er hat/ist …,gesonnen,think/contemplate/ponder
sinnen,Präsens 2. Pers.,Du …,sinnst,think/contemplate/ponder
sinnen,Konjunktiv II 3. Pers.,Wenn er doch …,sänne,think/contemplate/ponder
sitzen,Präteritum 3. Pers.,Er …,sass,sit
sitzen,Partizip II,Er hat/ist …,gesessen,sit
sitzen,Präsens 2. Pers.,Du …,sitzt,sit
sitzen,Konjunktiv II 3. Pers.,Wenn er doch …,sässe,sit
sitzen,Präsens 2. Pers.,Du …,sitzest,sit
sollen,Präteritum 3. Pers.,Er …,sollte,be expected/supposed
sollen,Partizip II,Er hat/ist …,gesollt,be expected/supposed
sollen,Präsens 2. Pers.,Du …,sollst,be expected/supposed
sollen,Konjunktiv II 3. Pers.,Wenn er doch …,sollte,be expected/supposed
spalten,Präteritum 3. Pers.,Er …,spaltete,cleave
spalten,Partizip II,Er hat/ist …,gespalten,cleave
spalten,Präsens 2. Pers.,Du …,spaltest,cleave
spalten,Konjunktiv II 3. Pers.,Wenn er doch …,spaltete,cleave
spalten,Partizip II,Er hat/ist …,gespaltet,cleave
speien,Präteritum 3. Pers.,Er …,spie,spew
speien,Partizip II,Er hat/ist …,gespien,spew
speien,Präsens 2. Pers.,Du …,speist,spew
speien,Konjunktiv II 3. Pers.,Wenn er doch …,spie,spew
speisen,Präteritum 3. Pers.,Er …,speiste,feed sb. sth.
speisen,Partizip II,Er hat/ist …,gespeist,feed sb. sth.
speisen,Präsens 2. Pers.,Du …,speist,feed sb. sth.
speisen,Konjunktiv II 3. Pers.,Wenn er doch …,speiste,feed sb. sth.
speisen,Präsens 2. Pers.,Du …,speistest,feed sb. sth.
spinnen,Präteritum 3. Pers.,Er …,spann,spin sth.
spinnen,Partizip II,Er hat/ist …,gesponnen,spin sth.
spinnen,Präsens 2. Pers.,Du …,spinnst,spin sth.
spinnen,Konjunktiv II 3. Pers.,Wenn er doch …,spönne,spin sth.
sprechen,Präteritum 3. Pers.,Er …,sprach,speak
sprechen,Partizip II,Er hat/ist …,gesprochen,speak
sprechen,Präsens 2. Pers.,Du …,sprichst,speak
sprechen,Konjunktiv II 3. Pers.,Wenn er doch …,spräche,speak
spriessen,Präteritum 3. Pers.,Er …,spross,spring [plants]
spriessen,Partizip II,Er hat/ist …,gesprossen,spring [plants]
spriessen,Präsens 3. Pers.,Es …,spriesst,spring [plants]
spriessen,Konjunktiv II 3. Pers.,Wenn er doch …,sprosse,spring [plants]
springen,Präteritum 3. Pers.,Er …,sprang,leap
springen,Partizip II,Er hat/ist …,gesprungen,leap
springen,Präsens 2. Pers.,Du …,springst,leap
springen,Konjunktiv II 3. Pers.,Wenn er doch …,spränge,leap
stechen,Präteritum 3. Pers.,Er …,stach,sting sb. sth. [insect]
stechen,Partizip II,Er hat/ist …,gestochen,sting sb. sth. [insect]
stechen,Präsens 2. Pers.,Du …,stichst,sting sb. sth. [insect]
stechen,Konjunktiv II 3. Pers.,Wenn er doch …,stäche,sting sb. sth. [insect]
stecken (festsitzen),Präteritum 3. Pers.,Er …,stak,
stecken (festsitzen),Partizip II,Er hat/ist …,gesteckt,
stecken (festsitzen),Präsens 2. Pers.,Du …,steckst,
stecken (festsitzen),Konjunktiv II 3. Pers.,Wenn er doch …,stäke,
stecken (festsitzen),Präteritum 3. Pers.,Er …,steckte,
stecken (festsitzen),Konjunktiv II 3. Pers.,Wenn er doch …,steckte,
stecken (festheften),Präteritum 3. Pers.,Er …,steckte,stick/put
stecken (festheften),Partizip II,Er hat/ist …,gesteckt,stick/put
stecken (festheften),Präsens 2. Pers.,Du …,steckst,stick/put
stecken (festheften),Konjunktiv II 3. Pers.,Wenn er doch …,steckte,stick/put
stehen,Präteritum 3. Pers.,Er …,stand,stand
stehen,Partizip II,Er hat/ist …,gestanden,stand
stehen,Präsens 2. Pers.,Du …,stehst,stand
stehen,Konjunktiv II 3. Pers.,Wenn er doch …,stünde,stand
stehen,Konjunktiv II 3. Pers.,Wenn er doch …,stände,stand
stehlen,Präteritum 3. Pers.,Er …,stahl,steal
stehlen,Partizip II,Er hat/ist …,gestohlen,steal
stehlen,Präsens 2. Pers.,Du …,stiehlst,steal
stehlen,Konjunktiv II 3. Pers.,Wenn er doch …,stähle,steal
stehlen,Konjunktiv II 3. Pers.,Wenn er doch …,stöhle,steal
steigen,Präteritum 3. Pers.,Er …,stieg,rise
steigen,Partizip II,Er hat/ist …,gestiegen,rise
steigen,Präsens 2. Pers.,Du …,steigst,rise
steigen,Konjunktiv II 3. Pers.,Wenn er doch …,stiege,rise
sterben,Präteritum 3. Pers.,Er …,starb,die
sterben,Partizip II,Er hat/ist …,gestorben,die
sterben,Präsens 2. Pers.,Du …,stirbst,die
sterben,Konjunktiv II 3. Pers.,Wenn er doch …,stürbe,die
stieben,Präteritum 3. Pers.,Er …,stob,spray
stieben,Partizip II,Er hat/ist …,gestoben,spray
stieben,Präsens 2. Pers.,Du …,stiebst,spray
stieben,Konjunktiv II 3. Pers.,Wenn er doch …,stöbe,spray
stinken,Präteritum 3. Pers.,Er …,stank,stink
stinken,Partizip II,Er hat/ist …,gestunken,stink
stinken,Präsens 2. Pers.,Du …,stinkst,stink
stinken,Konjunktiv II 3. Pers.,Wenn er doch …,stänke,stink
stossen,Präteritum 3. Pers.,Er …,stiess,thrust/bump/poke
stossen,Partizip II,Er hat/ist …,gestossen,thrust/bump/poke
stossen,Präsens 2. Pers.,Du …,stösst,thrust/bump/poke
stossen,Konjunktiv II 3. Pers.,Wenn er doch …,stiesse,thrust/bump/poke
stossen,Präsens 2. Pers.,Du …,stösstest,thrust/bump/poke
streichen,Präteritum 3. Pers.,Er …,strich,withdraw sth.
streichen,Partizip II,Er hat/ist …,gestrichen,withdraw sth.
streichen,Präsens 2. Pers.,Du …,streichst,withdraw sth.
streichen,Konjunktiv II 3. Pers.,Wenn er doch …,striche,withdraw sth.
streiten,Präteritum 3. Pers.,Er …,stritt,quarrel/argue
streiten,Partizip II,Er hat/ist …,gestritten,quarrel/argue
streiten,Präsens 2. Pers.,Du …,streitest,quarrel/argue
streiten,Konjunktiv II 3. Pers.,Wenn er doch …,stritte,quarrel/argue
tragen,Präteritum 3. Pers.,Er …,trug,carry sth.
tragen,Partizip II,Er hat/ist …,getragen,carry sth.
tragen,Präsens 2. Pers.,Du …,trägst,carry sth.
tragen,Konjunktiv II 3. Pers.,Wenn er doch …,trüge,carry sth.
treffen,Präteritum 3. Pers.,Er …,traf,hit
treffen,Partizip II,Er hat/ist …,getroffen,hit
treffen,Präsens 2. Pers.,Du …,triffst,hit
treffen,Konjunktiv II 3. Pers.,Wenn er doch …,träfe,hit
treiben,Präteritum 3. Pers.,Er …,trieb,float [in or on the water; in the air etc.)]
treiben,Partizip II,Er hat/ist …,getrieben,float [in or on the water; in the air etc.)]
treiben,Präsens 2. Pers.,Du …,treibst,float [in or on the water; in the air etc.)]
treiben,Konjunktiv II 3. Pers.,Wenn er doch …,triebe,float [in or on the water; in the air etc.)]
treten,Präteritum 3. Pers.,Er …,trat,step
treten,Partizip II,Er hat/ist …,getreten,step
treten,Präsens 2. Pers.,Du …,trittst,step
treten,Konjunktiv II 3. Pers.,Wenn er doch …,träte,step
triefen,Präteritum 3. Pers.,Er …,troff,ooze
triefen,Partizip II,Er hat/ist …,getroffen,ooze
triefen,Präsens 3. Pers.,Es …,trieft,ooze
triefen,Konjunktiv II 3. Pers.,Wenn er doch …,tröffe,ooze
triefen,Präteritum 3. Pers.,Er …,triefte,ooze
triefen,Partizip II,Er hat/ist …,getrieft,ooze
triefen,Konjunktiv II 3. Pers.,Wenn er doch …,triefte,ooze
trinken,Präteritum 3. Pers.,Er …,trank,drink
trinken,Partizip II,Er hat/ist …,getrunken,drink
trinken,Präsens 2. Pers.,Du …,trinkst,drink
trinken,Konjunktiv II 3. Pers.,Wenn er doch …,tränke,drink
trügen,Präteritum 3. Pers.,Er …,trog,deceive
trügen,Partizip II,Er hat/ist …,getrogen,deceive
trügen,Präsens 2. Pers.,Du …,trügst,deceive
trügen,Konjunktiv II 3. Pers.,Wenn er doch …,tröge,deceive
tun,Präteritum 3. Pers.,Er …,tat,[we they you] do
tun,Partizip II,Er hat/ist …,getan,[we they you] do
tun,Präsens 2. Pers.,Du …,tust,[we they you] do
tun,Konjunktiv II 3. Pers.,Wenn er doch …,täte,[we they you] do
verderben,Präteritum 3. Pers.,Er …,verdarb,spoil
verderben,Partizip II,Er hat/ist …,verdorben,spoil
verderben,Präsens 2. Pers.,Du …,verdirbst,spoil
verderben,Konjunktiv II 3. Pers.,Wenn er doch …,verdürbe,spoil
verdriessen,Präteritum 3. Pers.,Er …,verdross,annoy sb.
verdriessen,Partizip II,Er hat/ist …,verdrossen,annoy sb.
verdriessen,Präsens 2. Pers.,Du …,verdriesst,annoy sb.
verdriessen,Konjunktiv II 3. Pers.,Wenn er doch …,verdrösse,annoy sb.
verdriessen,Präsens 2. Pers.,Du …,verdriessest,annoy sb.
vergessen,Präteritum 3. Pers.,Er …,vergass,forget
vergessen,Partizip II,Er hat/ist …,vergessen,forget
vergessen,Präsens 2. Pers.,Du …,vergisst,forget
vergessen,Konjunktiv II 3. Pers.,Wenn er doch …,vergässe,forget
vergessen,Präsens 2. Pers.,Du …,vergisstest,forget
verlieren,Präteritum 3. Pers.,Er …,verlor,lose
verlieren,Partizip II,Er hat/ist …,verloren,lose
verlieren,Präsens 2. Pers.,Du …,verlierst,lose
verlieren,Konjunktiv II 3. Pers.,Wenn er doch …,verlöre,lose
verzeihen,Präteritum 3. Pers.,Er …,verzieh,condone sth.
verzeihen,Partizip II,Er hat/ist …,verziehen,condone sth.
verzeihen,Präsens 2. Pers.,Du …,verzeihst,condone sth.
verzeihen,Konjunktiv II 3. Pers.,Wenn er doch …,verziehe,condone sth.
wachsen (grösser werden),Präteritum 3. Pers.,Er …,wuchs,grow
wachsen (grösser werden),Partizip II,Er hat/ist …,gewachsen,grow
wachsen (grösser werden),Präsens 2. Pers.,Du …,wächst,grow
wachsen (grösser werden),Konjunktiv II 3. Pers.,Wenn er doch …,wüchse,grow
wachsen (mit Wachs glätten),Präteritum 3. Pers.,Er …,wachste,wax
wachsen (mit Wachs glätten),Partizip II,Er hat/ist …,gewachst,wax
wachsen (mit Wachs glätten),Präsens 2. Pers.,Du …,wachst,wax
wachsen (mit Wachs glätten),Konjunktiv II 3. Pers.,Wenn er doch …,wachste,wax
wachsen (mit Wachs glätten),Präsens 2. Pers.,Du …,wachsest,wax
wagen (Gewicht bestimmen),Präteritum 3. Pers.,Er …,wog,weigh
wagen (Gewicht bestimmen),Partizip II,Er hat/ist …,gewogen,weigh
wagen (Gewicht bestimmen),Präsens 2. Pers.,Du …,wägst,weigh
wagen (Gewicht bestimmen),Konjunktiv II 3. Pers.,Wenn er doch …,wöge,weigh
waschen,Präteritum 3. Pers.,Er …,wusch,wash sth.
waschen,Partizip II,Er hat/ist …,gewaschen,wash sth.
waschen,Präsens 2. Pers.,Du …,wäschst,wash sth.
waschen,Konjunktiv II 3. Pers.,Wenn er doch …,wüsche,wash sth.
weben (gehobene Sprache),Präteritum 3. Pers.,Er …,wob,move
